Data,Titulo,Resumo,Fonte,Link,Imagem,Categoria,Tipo
2025-05-27,Unpacking OpenAI’s Amazonian Archaeology Initiative,"The OpenAI to Z Challenge presents itself as a research collaboration, yet its downstream utility extends well beyond archaeology.",The Policy,https://www.techpolicy.press/unpacking-openais-amazonian-archaeology-initiative/,https://cdn.sanity.io/images/3tzzh18d/production/8eb8098e07b21e41417f297c86d456cc34bbb760-1200x675.jpg,Impacto Ambiental,Nacional
2025-07-21,Cloudflare Just Changed How AI Crawlers Scrape the Internet-at-Large; Permission-Based Approach Makes Way for A New Business Model,Empowers leading publishers and AI companies to stop the scraping and use of original content without permission,Cloudfare,https://www.cloudflare.com/pt-br/press-releases/2025/cloudflare-just-changed-how-ai-crawlers-scrape-the-internet-at-large/,https://cf-assets.www.cloudflare.com/zkvhlag99gkb/2XSgt92NobCC8We237xmsX/3a9f78b8159ddccbe9de224e85099eeb/BLOG-2873_1.png,Direito Autoral,Internacional
2025-06-30,Denmark fights back against deepfakes with copyright protection. What other laws exist in Europe?,People in Denmark will soon have the copyright to their own likenesses as a way to fight against deepfakes. What other countries have laws that govern the use of fake or AI-generated videos?,,https://www.euronews.com/next/2025/06/30/denmark-fights-back-against-deepfakes-with-copyright-protection-what-other-laws-exist-in-e,https://static.euronews.com/articles/stories/09/34/99/76/1366x768_cmsv2_d81511ae-f5e8-5c86-979a-8a2065738443-9349976.jpg,Direito Autoral,Internacional
2025-07-08,Licenças de bilhões,"Valor gasto pelo governo federal, estados e prefeituras com big techs poderia sustentar uma universidade por mais de quatro anos.",Intercept_ Brasil,https://www.intercept.com.br/2025/07/08/brasil-torrou-10-bilhoes-em-um-ano-com-bigtechs/,https://uploads.intercept.com.br/2025/07/lufe-google-2-1024x72-1.webp,Economia,Nacional
2025-07-06,Declaração dos Líderes do BRICS sobre Governança Global da Inteligência Artificial,,Governo Federal,https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/declaracao-dos-lideres-do-brics-sobre-governanca-global-da-inteligencia-artificial,https://barra.sistema.gov.br/v1/assets/govbr.webp,Governança,Nacional
2025-07-06,Brics defende governança da IA baseada em Carta da ONU e com respeito a direitos autorais,Líderes consideram que o uso da Inteligência Artificial deve proteger a propriedade intelectual contra a utilização de IA não autorizada a fim de evitar a extração abusiva de dados sem remuneração justa.,G1,https://g1.globo.com/rj/rio-de-janeiro/noticia/2025/07/06/brics-declaracao-sobre-inteligencia-artificial-preve-respeito-a-soberania-e-melhoria-na-vida-das-pessoas.ghtml,https://s2-g1.glbimg.com/bwiPNARe76Q2lzzfYztjwEAvrfk=/0x0:5748x3832/984x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2025/8/Q/tu4LRfT2SzZXcrzglhTg/2025-07-06t200553z-1206752770-rc27hfa71xmy-rtrmadp-3-brics-summit-brazil.jpg,Governança,Nacional
2025-07-05,Líder em transformadores teme que demanda de IA cause colapso em rede elétrica,Hitachi Energy pede que governos controlem o alto consumo dos data centers para garantir fornecimento para população,Folha de S.Paulo,https://www1.folha.uol.com.br/mercado/2025/07/lider-em-transformadores-teme-que-demanda-de-ia-cause-colapso-em-rede-eletrica.shtml,https://f.i.uol.com.br/fotografia/2025/06/19/17503771616854a2c933a78_1750377161_3x2_lg.jpg,Impacto Ambiental,Internacional
2025-07-02,IA Acelera Demanda por Data Centers e Coloca Brasil em Papel de Destaque,"À medida que modelos de IA se tornam mais sofisticados e exigentes em poder computacional, cresce também a pressão sobre recursos como energia e água",Forbes,https://forbes.com.br/forbes-tech/2025/07/ia-acelera-demanda-por-data-centers-e-coloca-brasil-em-papel-de-destaque/,https://forbes.com.br/wp-content/uploads/2025/01/data-center-768x512.png,Impacto Ambiental,Nacional
2025-06-11,Generative AI and child safety: A convergence of innovation and exploitation,"The 'Converge' blog series forms part of eSafety’s Tech Trends and Challenges program. Each blog in this series will consider the convergence of a technology and harm, building knowledge and contributing to critical conversations around emerging technologies and evolving harms.",eSafety Commissioner,https://www.esafety.gov.au/newsroom/blogs/generative-ai-and-child-safety-a-convergence-of-innovation-and-exploitation#resources,https://www.esafety.gov.au/sites/default/files/2025-06/Blog%20-%20Tech%20Trends%20Converge%20series%20generative%20AI%20and%20child%20sexual%20abuse%20%E2%80%93%201.png,Segurança Infantil,Internacional
2025-06-22,Do laboratório ao consultório: a transformação da medicina pela inteligência artificial,"Avanços da IA na saúde prometem eficiência, mas também levantam dilemas éticos e riscos de aprofundar desigualdades",Jornal do Commercio,https://jc.uol.com.br/colunas/saude-e-bem-estar/2025/06/22/do-laboratorio-ao-consultorio-a-transformacao-da-medicina-pela-inteligencia-artificial.html,https://imagens.ne10.uol.com.br/veiculos/_midias/jpg/2025/06/18/feche_as_pessoas_usando_jalecos-34621399.jpg,Saúde,Nacional
2025-07-03,Tran$ação Energética,"Data center do TikTok gastará energia equivalente ao consumo de 2,2 milhões de brasileiros, revela estudo interno",,https://www.intercept.com.br/2025/07/03/data-center-tiktok-energia-estudo-interno/,https://www.intercept.com.br/wp-content/plugins/seox-image-magick/imagick_convert.php?width=1920&height=1080&format=webp&quality=91&imagick=uploads.intercept.com.br/2025/07/HEADER-1920x1152-1.png,Impacto Ambiental,Nacional
